Simulation_name,Snapshot,Step,Time_(s),sps,tps,T,CO_Desorption_tof_data,Do_nothing_tof_data,CO_Desorption_tof_integ,Do_nothing_tof_integ,CO_simple_cubic_coord1,empty_simple_cubic_coord1,
MyFirstTPD_Precovered,0,0,0.0,0,0,300,0.0,0.0,0.0,0.0,1.0,0.0,
MyFirstTPD_Precovered,1,12,0.9393167146981707,12,0.9393167146981707,300,0.03193810940502625,0.0,0.03370336435192817,0.0,0.97,0.03,
MyFirstTPD_Precovered,2,31,1.9316164086022518,19,0.9922996939040811,304.69658357349084,0.04786860289467297,0.0,0.05474796873564064,0.0,0.9225,0.0775,
MyFirstTPD_Precovered,3,51,2.5223111159453517,20,0.5906947073430999,309.65808204301123,0.08464609446882675,0.0,0.08820680514594204,0.0,0.8725,0.1275,
MyFirstTPD_Precovered,4,71,2.8701532805337777,20,0.347842164588426,312.6115555797267,0.14374335572330924,0.0,0.1130267785819811,0.0,0.8225,0.1775,
MyFirstTPD_Precovered,5,91,3.3000365867072876,20,0.4298833061735099,314.35076640266885,0.11631063426272932,0.0,0.12767682175859854,0.0,0.7725,0.2275,
MyFirstTPD_Precovered,6,111,3.6547197816454777,20,0.3546831949381901,316.5001829335364,0.14097087404638212,0.0,0.14946836957192247,0.0,0.7225,0.2775,
MyFirstTPD_Precovered,7,131,3.9417413952354745,20,0.2870216135899968,318.27359890822737,0.17420290888415027,0.0,0.16611965943938067,0.0,0.6725,0.3275,
MyFirstTPD_Precovered,8,151,4.165848472770184,20,0.22410707753470982,319.7087069761774,0.22310763475221335,0.0,0.17686074426132067,0.0,0.6225,0.3775,
MyFirstTPD_Precovered,9,171,4.321208482151469,20,0.15536000938128502,320.82924236385094,0.3218331422553525,0.0,0.18222308231883413,0.0,0.5725,0.4275,
MyFirstTPD_Precovered,10,191,4.654644722931492,20,0.33343624078002243,321.60604241075737,0.14995370594100013,0.0,0.18161462919235796,0.0,0.5225,0.4775,
MyFirstTPD_Precovered,11,211,4.87654155549318,20,0.22189683256168813,323.27322361465747,0.22532994014729713,0.0,0.19298068059596954,0.0,0.4725,0.5275,
MyFirstTPD_Precovered,12,231,5.1468211017736865,20,0.27027954628050654,324.3827077774659,0.18499365078890606,0.0,0.19309178492770188,0.0,0.4225,0.5775,
