Simulation_name,Snapshot,Step,Time_(s),sps,tps,T,CO_Desorption_tof_data,Do_nothing_tof_data,CO_Desorption_tof_integ,Do_nothing_tof_integ,CO_simple_cubic_coord1,empty_simple_cubic_coord1,
MyFirstTPD_Precovered,0,0,0.0,0,0,300,0.0,0.0,0.0,0.0,1.0,0.0,
MyFirstTPD_Precovered,1,10,0.7716540763417846,10,0.7716540763417846,300,0.032397936804168304,0.0,0.033778177376813094,0.0,0.975,0.025,
MyFirstTPD_Precovered,2,20,1.3286440026200783,10,0.5569899262782937,303.8582703817089,0.04488411517070963,0.0,0.050712606688845065,0.0,0.95,0.05,
MyFirstTPD_Precovered,3,30,1.7828803376273037,10,0.4542363350072254,306.64322001310035,0.0550374289181475,0.0,0.0670165504621908,0.0,0.925,0.075,
MyFirstTPD_Precovered,4,40,2.068353255692924,10,0.28547291806562014,308.9144016881365,0.08757398134086185,0.0,0.08292654141802576,0.0,0.9,0.1,
MyFirstTPD_Precovered,5,50,2.3811059063882656,10,0.31275265069534175,310.3417662784646,0.010499322996481398,0.0,0.012301838679145976,0.0,0.875,0.125,
MyFirstTPD_Precovered,6,60,2.4309667677107867,10,0.0498608613225211,322.24729581040594,0.501395269493831,0.0,0.3018847194076859,0.0,0.85,0.15,
MyFirstTPD_Precovered,7,70,2.5076302051291295,10,0.0766634374183428,322.49660011701855,0.32610069208843484,0.0,0.3019330728726021,0.0,0.825,0.175,
MyFirstTPD_Precovered,8,80,2.603565719556677,10,0.09593551442754755,322.8799173041103,0.2605917125600083,0.0,0.3031135576015926,0.0,0.8,0.2,
MyFirstTPD_Precovered,9,90,2.6827163918653794,10,0.07915067230870232,323.359594876248,0.3158532867856808,0.0,0.3086678433667419,0.0,0.775,0.225,
MyFirstTPD_Precovered,10,100,2.7749749813991005,10,0.09225858953372112,323.7553482377915,0.27097747891389923,0.0,0.312095808536188,0.0,0.75,0.25,
MyFirstTPD_Precovered,11,110,2.851831522962097,10,0.07685654156299648,324.2166411854601,0.32528135525729346,0.0,0.31432037809169067,0.0,0.725,0.275,
MyFirstTPD_Precovered,12,120,2.935449169177909,10,0.08361764621581225,324.6009238932751,0.2989799537704812,0.0,0.3139493530377359,0.0,0.7,0.3,
