Simulation_name,Snapshot,Step,Time_(s),sps,tps,T,CO_Desorption_tof_data,Do_nothing_tof_data,CO_Desorption_tof_integ,Do_nothing_tof_integ,CO_simple_cubic_coord1,empty_simple_cubic_coord1
MyFirstTPD_Precovered,0,0,0,0,0,300,0,0,0,0,1,0
MyFirstTPD_Precovered,1,10,0.771654076341785,10,0.771654076341785,300,0.032397936804168,0,0.033778177376813,0,0.975,0.025
MyFirstTPD_Precovered,2,20,1.32864400262008,10,0.556989926278294,303.858270381709,0.04488411517071,0,0.050712606688845,0,0.95,0.05
MyFirstTPD_Precovered,3,30,1.7828803376273,10,0.454236335007225,306.6432200131,0.055037428918148,0,0.067016550462191,0,0.925,0.075
MyFirstTPD_Precovered,4,40,2.06835325569292,10,0.28547291806562,308.914401688136,0.087573981340862,0,0.082926541418026,0,0.9,0.1
MyFirstTPD_Precovered,5,50,2.38110590638827,10,0.312752650695342,310.341766278465,0.079935373671231,0,0.09365861703562,0,0.875,0.125
MyFirstTPD_Precovered,6,60,2.52211174579303,10,0.141005839404769,311.905529531941,0.177297621896604,0,0.106748998433789,0,0.85,0.15
MyFirstTPD_Precovered,7,70,2.72858527588509,10,0.206473530092053,312.610558728965,0.121080895884592,0,0.112107480442538,0,0.825,0.175
MyFirstTPD_Precovered,8,80,2.9696909860952,10,0.241105710210116,313.642926379425,0.103688958582579,0,0.120608321773595,0,0.8,0.2
MyFirstTPD_Precovered,9,90,3.15388496903687,10,0.184193982941666,314.848454930476,0.135726474886628,0,0.132638791628129,0,0.775,0.225
MyFirstTPD_Precovered,10,100,3.35701214855899,10,0.203127179522121,315.769424845184,0.12307560248124,0,0.141751188406568,0,0.75,0.25
MyFirstTPD_Precovered,11,110,3.51666411958633,10,0.159651971027344,316.785060742795,0.156590612938428,0,0.151313992852385,0,0.725,0.275
MyFirstTPD_Precovered,12,120,3.68300452425098,10,0.166340404664647,317.583320597932,0.15029421174249,0,0.157819177997779,0,0.7,0.3
MyFirstTPD_Precovered,13,130,3.81834366539304,10,0.135339141142056,318.415022621255,0.184721136760868,0,0.166310956146926,0,0.675,0.325
MyFirstTPD_Precovered,14,140,3.91904645737165,10,0.100702791978609,319.091718326965,0.248255281793084,0,0.170952494586326,0,0.65,0.35
MyFirstTPD_Precovered,15,150,4.02653593814334,10,0.107489480771693,319.595232286858,0.232580898340181,0,0.173158138964649,0,0.625,0.375
MyFirstTPD_Precovered,16,160,4.11494836055665,10,0.088412422413309,320.132679690717,0.282765694204492,0,0.175747203925138,0,0.6,0.4
MyFirstTPD_Precovered,17,170,4.21527728841337,10,0.100328927856721,320.574741802783,0.249180376328774,0,0.175635134225634,0,0.575,0.425
MyFirstTPD_Precovered,18,180,4.38324053247964,10,0.167963244066268,321.076386442067,0.148842088273411,0,0.176573986429132,0,0.55,0.45
MyFirstTPD_Precovered,19,190,4.55004174231734,10,0.166801209837707,321.916202662398,0.149879008817288,0,0.183559072643026,0,0.525,0.475
MyFirstTPD_Precovered,20,200,4.65040953837392,10,0.100367796056575,322.750208711587,0.249083879314318,0,0.189455254636945,0,0.5,0.5
MyFirstTPD_Precovered,21,210,4.77798776978003,10,0.127578231406107,323.25204769187,0.195958195410469,0,0.188611962965934,0,0.475,0.525
MyFirstTPD_Precovered,22,220,4.90940607197727,10,0.13141830219724,323.8899388489,0.190232255188312,0,0.191190459565682,0,0.45,0.55
MyFirstTPD_Precovered,23,230,5.02155645587358,10,0.112150383896314,324.547030359886,0.222914974799489,0,0.191427821931291,0,0.425,0.575
