Simulation_name,Snapshot,Step,Time_(s),sps,tps,T,CO_Desorption_tof_data,Do_nothing_tof_data,CO_Desorption_tof_integ,Do_nothing_tof_integ,CO_simple_cubic_coord1,empty_simple_cubic_coord1,
MyFirstTPD_Precovered,0,0,0.0,0,0,300,0.0,0.0,0.0,0.0,1.0,0.0,
MyFirstTPD_Precovered,1,10,0.7716540763417846,10,0.7716540763417846,300,0.032397936804168304,0.0,0.033778177376813094,0.0,0.975,0.025,
MyFirstTPD_Precovered,2,20,1.3286440026200783,10,0.5569899262782937,303.8582703817089,0.04488411517070963,0.0,0.050712606688845065,0.0,0.95,0.05,
MyFirstTPD_Precovered,3,30,1.7828803376273037,10,0.4542363350072254,306.64322001310035,0.0550374289181475,0.0,0.0670165504621908,0.0,0.925,0.075,
MyFirstTPD_Precovered,4,40,2.068353255692924,10,0.28547291806562014,308.9144016881365,0.08757398134086185,0.0,0.08292654141802576,0.0,0.9,0.1,
MyFirstTPD_Precovered,5,50,2.3811059063882656,10,0.31275265069534175,310.3417662784646,0.0799353736712306,0.0,0.09365861703562008,0.0,0.875,0.125,
MyFirstTPD_Precovered,6,60,2.5221117457930347,10,0.14100583940476907,311.90552953194134,0.17729762189660392,0.0,0.10674899843378928,0.0,0.85,0.15,
MyFirstTPD_Precovered,7,70,2.7285852758850875,10,0.20647353009205283,312.6105587289652,0.12108089588459191,0.0,0.11210748044253824,0.0,0.825,0.175,
MyFirstTPD_Precovered,8,80,2.969690986095203,10,0.24110571021011573,313.6429263794255,0.10368895858257905,0.0,0.12060832177359523,0.0,0.8,0.2,
MyFirstTPD_Precovered,9,90,3.1538849690368695,10,0.18419398294166633,314.84845493047607,0.13572647488662767,0.0,0.13263879162812917,0.0,0.775,0.225,
MyFirstTPD_Precovered,10,100,3.3570121485589905,10,0.203127179522121,315.7694248451844,0.1230756024812398,0.0,0.14175118840656836,0.0,0.75,0.25,
MyFirstTPD_Precovered,11,110,3.5166641195863346,10,0.15965197102734408,316.785060742795,0.15659061293842827,0.0,0.15131399285238534,0.0,0.725,0.275,
MyFirstTPD_Precovered,12,120,3.6830045242509817,10,0.16634040466464706,317.58332059793173,0.15029421174249039,0.0,0.1578191779977791,0.0,0.7,0.3,
MyFirstTPD_Precovered,13,130,3.818343665393037,10,0.13533914114205547,318.415022621255,0.18472113676086768,0.0,0.16631095614692584,0.0,0.675,0.325,
MyFirstTPD_Precovered,14,140,3.9190464573716466,10,0.10070279197860943,319.0917183269653,0.24825528179308395,0.0,0.17095249458632558,0.0,0.65,0.35,
MyFirstTPD_Precovered,15,150,4.02653593814334,10,0.10748948077169329,319.59523228685833,0.23258089834018064,0.0,0.17315813896464902,0.0,0.625,0.375,
MyFirstTPD_Precovered,16,160,4.114948360556649,10,0.08841242241330871,320.1326796907168,0.2827656942044917,0.0,0.1757472039251384,0.0,0.6,0.4,
MyFirstTPD_Precovered,17,170,4.215277288413369,10,0.10032892785672054,320.57474180278336,0.24918037632877357,0.0,0.17563513422563368,0.0,0.575,0.425,
MyFirstTPD_Precovered,18,180,4.383240532479637,10,0.16796324406626795,321.07638644206696,0.14884208827341142,0.0,0.176573986429132,0.0,0.55,0.45,
MyFirstTPD_Precovered,19,190,4.550041742317344,10,0.16680120983770674,321.9162026623983,0.14987900881728827,0.0,0.18355907264302576,0.0,0.525,0.475,
MyFirstTPD_Precovered,20,200,4.650409538373919,10,0.10036779605657475,322.7502087115868,0.2490838793143185,0.0,0.18945525463694493,0.0,0.5,0.5,
MyFirstTPD_Precovered,21,210,4.777987769780026,10,0.12757823140610736,323.2520476918697,0.19595819541046886,0.0,0.18861196296593352,0.0,0.475,0.525,
MyFirstTPD_Precovered,22,220,4.909406071977266,10,0.1314183021972397,323.8899388489002,0.19023225518831194,0.0,0.19119045956568215,0.0,0.45,0.55,
MyFirstTPD_Precovered,23,230,5.02155645587358,10,0.11215038389631449,324.54703035988643,0.22291497479948932,0.0,0.19142782193129101,0.0,0.425,0.575,
