Simulation_name,Snapshot,Step,Time_(s),sps,tps,T,F1p0_tof_data,F2p0_tof_data,F3p0_tof_data,F4p0_tof_data,F5p0_tof_data,F6p0_tof_data,F7p0_tof_data,R1p0_tof_data,R2p0_tof_data,R3p0_tof_data,R4p0_tof_data,R5p0_tof_data,R6p0_tof_data,R7p0_tof_data,F1p0_tof_integ,F2p0_tof_integ,F3p0_tof_integ,F4p0_tof_integ,F5p0_tof_integ,F6p0_tof_integ,F7p0_tof_integ,R1p0_tof_integ,R2p0_tof_integ,R3p0_tof_integ,R4p0_tof_integ,R5p0_tof_integ,R6p0_tof_integ,R7p0_tof_integ,A1_Site_coord,B1_Site_coord,B2_Site_coord,C1_Site_coord,C2_Site_coord,D1_Site_coord,D2_Site_coord,E1_Site_coord,
MyFirstThrottling,10,4000000,10.801970369426092,400000,2.4109459112518863,600,0.20427666904574765,0.20220279423310042,0.21360910570265998,0.1928703575761881,19.503755675540443,87.49574140817836,99.60924418885057,0.20012891942045324,0.185611795731923,0.1793901712939814,0.17524242166868706,19.505829550353088,87.4967783455847,99.6102811262569,0.19125619744764255,0.19585724777461166,0.194935310394313,0.18591040862110067,19.585724777466734,86.93257427731551,99.59043028847088,0.19585724777461166,0.194935310394313,0.18591040862110067,0.17435347608898855,19.43836320785956,87.49223501237549,99.79896235585264,0.175,0.21,0.015,0.1775,0.0225,0.1925,0.0175,0.19,
MyFirstThrottling,11,4400000,13.364048609109888,400000,2.562078239683796,600,0.19125099007923907,0.16978404221320204,0.18832367900659766,0.19515407150942765,19.863757168587092,73.96241733171553,100.59411770024957,0.19222676043678621,0.15905056828018352,0.18539636793395625,0.18929944936414478,19.861805627872,73.96046579100043,100.59509347060711,0.1845057302436807,0.19749799845086372,0.1697753935597737,0.1994138848778407,19.749799845079895,73.93574663139296,100.79467065101804,0.19749799845086372,0.1697753935597737,0.1994138848778407,0.19194353265921713,19.752018039461497,74.53756382515614,101.06924218651197,0.1775,0.175,0.02,0.1925,0.0275,0.1875,0.015,0.205,
MyFirstThrottling,12,4800000,15.918761584692048,400000,2.5547129755821594,600,0.17223069840154323,0.18495228407892994,0.21235262246099368,0.1869094511062202,18.292661620568452,90.27335055024977,86.39620266918777,0.17516644894247865,0.19963103678360697,0.1986524532699618,0.1859308675925751,18.285811535972936,90.27432913376344,86.39522408567413,0.17988222275935917,0.1812639649029758,0.19031951956028095,0.1957347253521102,18.126396490301595,89.64827551589418,86.54777956904718,0.1812639649029758,0.19031951956028095,0.1957347253521102,0.19572603854650203,18.39082568857322,90.42879610505418,86.15680272508358,0.185,0.1875,0.0375,0.1225,0.025,0.2175,0.0175,0.2075,
MyFirstThrottling,13,5200000,18.73228005644276,400000,2.8135184717507133,600,0.175936289372213,0.19637333308716706,0.1839333934345863,0.2194760781562455,19.029553399976333,78.98206542135301,78.93585993121486,0.16616205107375673,0.17682485649025448,0.19104193037891815,0.21236754121191367,19.035773369802623,78.9882853911793,78.93319422986073,0.168957995040117,0.18855388515914545,0.1890261444849983,0.17582790351275113,18.855388515921508,78.90530459861897,79.18881878629799,0.18855388515914545,0.1890261444849983,0.17582790351275113,0.22230783358945375,18.805764991055977,79.1139602650569,79.12163478070248,0.1575,0.1775,0.02,0.215,0.0075,0.17,0.025,0.2275,
MyFirstThrottling,14,5600000,21.256761892864784,400000,2.524481836422023,600,0.172312588557393,0.17924470418901228,0.19607984215151622,0.1901380287529854,18.721663716537442,85.4026742793162,93.18248862245918,0.18419621535445463,0.18617681982063153,0.202021655550047,0.20400226001622393,18.7256249254698,85.39574216368457,93.17852741352682,0.1667781309267631,0.1871366112601509,0.20169334360612848,0.18546438586821865,18.713661126009466,85.27136015327136,93.12041878880149,0.1871366112601509,0.20169334360612848,0.18546438586821865,0.20118010551896823,18.975276577124408,84.97534723655714,93.75501233846006,0.1875,0.175,0.01,0.195,0.025,0.18,0.035,0.1925,
MyFirstThrottling,15,6000000,23.91179300599584,400000,2.6550311131310558,600,0.19585457866321135,0.19302975300941505,0.19020492735561872,0.19302975300941505,18.856652847641687,78.06876498541756,90.61004927972195,0.19491297011194594,0.19773779576574224,0.2033874470733349,0.20056262141953854,18.854769630539156,78.06876498541756,90.61569893102954,0.18655766525116296,0.18874436422875715,0.19850592022483787,0.1918046538358531,18.874436422863322,78.6146717041793,90.94773805975422,0.18874436422875715,0.19850592022483787,0.1918046538358531,0.17665743503014034,18.832877304735163,78.19828068884547,90.81102341627917,0.185,0.185,0.015,0.2175,0.025,0.18,0.02,0.1725,
MyFirstThrottling,16,6400000,26.704587816812516,400000,2.7927948108166767,600,0.17724180741199916,0.18350793191646375,0.17903212869898905,0.1844030925599587,20.25032407714265,74.1828576870696,83.86491520711094,0.18887889577743344,0.20051598414286773,0.1781369680554941,0.17724180741199916,20.24674343456867,74.18464800835659,83.86581036775442,0.19470544768050616,0.20193281454757805,0.18307454572649762,0.18174299112144157,20.193281454775683,74.2969155949729,83.6892471058611,0.20193281454757805,0.18307454572649762,0.18174299112144157,0.18179819786954024,20.271053305812337,73.76066183305869,84.26638674340252,0.2175,0.19,0.025,0.1725,0.02,0.165,0.0175,0.1925,
MyFirstThrottling,17,6800000,29.350017522409797,400000,2.64542970559728,600,0.20696070617245393,0.1880601850608143,0.18428008083848638,0.18428008083848638,19.84554716722161,80.46329847647223,87.95073991484826,0.19184028928314223,0.16821463789359267,0.17577484633824852,0.1833350547829044,19.8512173235551,80.46424350252781,87.95262996695944,0.20256246470467637,0.1984183468039401,0.18417844750066734,0.18245266506447141,19.84183468039582,80.60418179582501,88.15763385976693,0.1984183468039401,0.18417844750066734,0.18245266506447141,0.17600762369964054,19.78801641006841,80.48947671919669,87.94278444887048,0.1775,0.1925,0.01,0.205,0.0175,0.19,0.0125,0.195,
MyFirstThrottling,18,7200000,31.905623767279078,400000,2.5556062448692813,600,0.17803994684763072,0.17119225658426032,0.18782236150958845,0.1976047761715462,18.16594402725551,82.65944741061044,94.08922070164186,0.18782236150958845,0.18195291271241382,0.1790181883138265,0.19075708590817578,18.16300930285692,82.65749092767804,94.08726421870946,0.19202229942897053,0.1812625675140768,0.19014546977448243,0.19508368329576406,18.126256751427714,82.7354823599042,94.31146745951666,0.1812625675140768,0.19014546977448243,0.19508368329576406,0.1850569299768879,18.067559006311296,82.44759992346496,93.85093087849005,0.2025,0.1875,0.0175,0.15,0.0225,0.19,0.0175,0.2125,
MyFirstThrottling,19,7600000,34.659301622166524,400000,2.753677854887446,600,0.17794383577959533,0.18883835633752974,0.18157534263224012,0.19610137004281936,19.1008181681985,74.85171137000151,86.8747226823953,0.17431232892695053,0.17885171249275655,0.19428561661649696,0.20245650703494775,19.09991029148534,74.85352712342782,86.87563055910844,0.18893004346046233,0.1900569692567881,0.17799185274031878,0.19204026905037835,19.00569692569122,74.95548757333594,86.83177164111815,0.1900569692567881,0.17799185274031878,0.19204026905037835,0.19490403586568572,19.061199515027216,74.82439171494767,87.02867746662604,0.1925,0.1675,0.02,0.2175,0.0175,0.175,0.015,0.195,
MyFirstThrottling,20,8000000,37.32186504558281,400000,2.6625634234162874,600,0.17182689282683453,0.19905629114365528,0.2018731254522919,0.18591106437001767,19.665259253361867,86.86553640973644,80.49291825883083,0.1737047823659256,0.20468995976092852,0.19623945683501864,0.19436156729592757,19.66901503244005,86.86553640973644,80.49197931406128,0.18064762183365307,0.19760745639031663,0.1928542166129483,0.17618399223522008,19.760745639037005,86.79808955642909,80.69330534642432,0.19760745639031663,0.1928542166129483,0.17618399223522008,0.1962653279563551,19.48730985664796,87.3461278613154,80.36577228783443,0.1975,0.1875,0.01,0.1875,0.0175,0.21,0.0175,0.1725,
MyFirstThrottling,21,8400000,39.78311945881796,400000,2.461254413235146,600,0.17978637138058592,0.1919752779148629,0.21025863771627842,0.17470766032463714,16.854210510271535,85.9256966133858,99.60875994032293,0.17978637138058592,0.18791230907010392,0.22244754425055543,0.17267617590225764,16.854210510271535,85.92671235559698,99.60774419811172,0.18850706170744544,0.16825980595828485,0.20843957308105618,0.19836941738562758,16.82598059584763,86.39799889249706,99.32779067690316,0.16825980595828485,0.20843957308105618,0.19836941738562758,0.17887556148248784,16.79638344343055,86.15641303068502,99.97663391199637,0.1975,0.1775,0.01,0.23,0.015,0.1725,0.02,0.1775,
MyFirstThrottling,22,8800000,42.4224455611709,400000,2.639326102352946,600,0.1752341249486691,0.22259469925912023,0.20933373845219388,0.18091739386592323,18.16467467103042,83.86610498894683,86.64332906651168,0.16386758711416086,0.21312258439703002,0.19891441210389466,0.1790229708935052,18.161833036571792,83.86231614300199,86.64332906651168,0.1791274219249183,0.18250277624881403,0.21707737622267703,0.1968685066647842,18.250277624877018,83.7721889902334,87.08782485478555,0.18250277624881403,0.21707737622267703,0.1968685066647842,0.1648676150425582,18.33819816800578,84.00415300394074,86.04122810707916,0.1675,0.175,0.0175,0.2175,0.025,0.195,0.02,0.1825,
MyFirstThrottling,23,9200000,45.221679785103724,400000,2.799234223932821,600,0.16254445451897262,0.19558920626184065,0.18219268528500226,0.1893374964726494,19.224900703161563,68.63573557273386,90.01926235596333,0.17147546850353154,0.21523743702787035,0.1777271782927228,0.18397888808191404,19.224900703161563,68.63484247133542,90.02283476155715,0.17135879755112712,0.19180225902796053,0.18712469258349024,0.2010097795333193,19.180225902782475,68.88424671586392,90.31209674698226,0.19180225902796053,0.18712469258349024,0.2010097795333193,0.1908976787763846,19.324657008441537,68.17895923097387,89.68434725735753,0.1925,0.205,0.0175,0.1475,0.0275,0.2025,0.01,0.1975,
MyFirstThrottling,24,9600000,47.99504902268475,400000,2.7733692375810293,600,0.18299041942307273,0.17217325177244774,0.17217325177244774,0.20372332408677063,17.8131708286667,78.92205517895992,82.80812265744694,0.18299041942307273,0.17397611304755192,0.1902018645234894,0.20823047727453103,17.814973689941805,78.92115374832237,82.80631979617185,0.19921846606686688,0.1782857616114013,0.18464968541039986,0.18873380326173103,17.828576161128925,79.22770581955331,82.8911981840619,0.1782857616114013,0.18464968541039986,0.18873380326173103,0.1939887326896596,17.95223112431377,78.86416788020746,82.52973015244704,0.1925,0.215,0.0125,0.19,0.03,0.16,0.015,0.185,
MyFirstThrottling,25,10000000,50.809902172741154,400000,2.8148531500564005,600,0.20960240856194517,0.19805651317505835,0.18384618039119768,0.18473432619018898,20.637843931160678,78.35932755340382,77.87795253035053,0.2042735337679974,0.18206988879321506,0.1643069728133892,0.1785173055972499,20.636067639562693,78.36199199080077,77.8797288219485,0.18873251831681118,0.2054220683815768,0.1805227971360819,0.16778032645763039,20.54220683816322,78.51491472954771,78.3086061938101,0.2054220683815768,0.1805227971360819,0.16778032645763039,0.20188689404920854,20.864679682900665,78.67747389040379,77.94935131652295,0.1775,0.18,0.0175,0.1875,0.0225,0.2025,0.01,0.2025,
MyFirstThrottling,26,10400000,53.25319277948464,400000,2.4432906067434885,600,0.1872474763080981,0.17599216352455124,0.18417784554894895,0.19543315833249583,18.61628734398654,85.3203869505506,99.97173456396949,0.17803858403065065,0.17803858403065065,0.1811082147897998,0.18929389681419753,18.61833376449264,85.32141016080364,99.96661851270424,0.17477694393457743,0.1864785839491599,0.19207562284530305,0.19020603416711812,18.647858394892243,85.28582972962157,100.31156153173279,0.1864785839491599,0.19207562284530305,0.19020603416711812,0.1996972916565566,18.60263113202347,85.67272978825686,99.5077829343212,0.155,0.2125,0.0125,0.1775,0.02,0.1825,0.0225,0.2175,
MyFirstThrottling,27,10800000,56.018884270491675,400000,2.7656914910070327,600,0.18982594468945596,0.1690354840806108,0.17445908250030953,0.1961534761791045,18.388710441988586,75.2406769434107,86.42142508561965,0.19796134231900406,0.16993941715056057,0.17265121636040995,0.20248100766875304,18.386902575848683,75.24158087648065,86.42142508561965,0.17850169359226245,0.18323659550944513,0.18053154500410099,0.18668837864124796,18.323659550912584,75.1605051001348,86.66613503347018,0.18323659550944513,0.18053154500410099,0.18668837864124796,0.21595061711128086,18.33014987108281,75.68304563453115,86.26465339261962,0.1775,0.1875,0.0175,0.1725,0.0175,0.205,0.0225,0.2,
MyFirstThrottling,28,11200000,58.49045309715661,400000,2.471568826664935,600,0.1810590889365779,0.18004758564642942,0.21545020080162622,0.19319712841835965,18.00071255148235,88.59959619068566,94.92149175411365,0.18611660538732033,0.1820705922267264,0.21848471067207167,0.20836967777058685,17.99464353174146,88.59959619068566,94.92048025082352,0.17694723549923239,0.17925180923866965,0.20053299987585865,0.20039541255375615,17.925180923886,88.76760796135133,94.7286109979148,0.17925180923866965,0.20053299987585865,0.20039541255375615,0.18454847363343913,18.151606908169555,88.72275935598107,95.15287962145541,0.19,0.165,0.0325,0.175,0.0175,0.2325,0.025,0.1625,
MyFirstThrottling,29,11600000,61.2938077260778,400000,2.8033546289211912,600,0.18370847365757156,0.18727562848587392,0.18816741719294952,0.20600319133446132,18.09617644397788,73.78570583472725,85.71159621444913,0.18638383977879833,0.18727562848587392,0.19262636072832748,0.19708530426370544,18.100635387513254,73.78124689119187,85.71159621444913,0.19307180455699946,0.18149719632421546,0.1844852099304669,0.1952328229644072,18.149719632400764,73.73750957319128,85.55873309831166,0.18149719632421546,0.1844852099304669,0.1952328229644072,0.1894262874527016,18.18091615737508,73.79610324531416,86.08155135596964,0.1975,0.17,0.02,0.175,0.03,0.195,0.025,0.1875,
