Temperature[K]	Time[s]	Desorption_events
1818.38996143	51.7057750938	1.0	
1818.53780023	51.7093449981	1.0	
1818.64648246	51.7492479842	1.0	
1818.76270672	51.7558347031	1.0	
1819.06724134	51.871061832	1.0	
1819.737447	52.0239169673	1.0	
1820.38064249	52.1283400271	1.0	
1820.683004	52.1448615713	1.0	
1820.94729328	52.2340557419	1.0	
1821.43580929	52.3402679726	1.0	
1822.08758115	52.4947644867	1.0	
1822.73293668	52.5984101849	1.0	
1823.090684	52.6378634166	1.0	
1823.36319094	52.707412958	1.0	
1823.95315992	52.8738510082	1.0	
1824.52742246	52.9371179775	1.0	
1824.94030086	53.0390023669	1.0	
1825.61148738	53.2055925851	1.0	
1826.72026354	53.4825128306	1.0	
1827.58232165	53.5504158278	1.0	
1827.84761651	53.5886307774	1.0	
1829.38151141	54.1639737852	1.0	
1830.990873	54.2323754129	1.0	
1832.36321588	54.7129109382	1.0	
1833.67689636	54.7578476052	1.0	
1833.96362396	54.8276019777	1.0	
1834.23829507	54.8677160501	1.0	
1835.22647551	55.2228741535	1.0	
1836.27924427	55.2888235536	1.0	
1837.05917716	55.53484731	1.0	
1837.689626	55.5410030918	1.0	
1837.7559855	55.5613911071	1.0	
1838.05046245	55.6587938745	1.0	
1838.35406756	55.6828331506	1.0	
1838.54944968	55.7369467211	1.0	
1838.71067107	55.7473217086	1.0	
1839.21239698	55.9376370821	1.0	
1839.99758006	56.0613949438	1.0	
1840.38798697	56.0937998448	1.0	
1840.81892974	56.2337720506	1.0	
1841.50052665	56.3664386089	1.0	
1841.90942463	56.3973312411	1.0	
1842.25999371	56.5066662442	1.0	
1842.62618343	56.5438071293	1.0	
1842.78907062	56.57182112	1.0	
1843.18142859	56.7007503177	1.0	
1843.53421999	56.712937677	1.0	
1843.75853561	56.790476567	1.0	
1844.02316234	56.818788369	1.0	
1844.16610774	56.8476547271	1.0	
1844.49909331	56.9519825978	1.0	
1844.84072462	56.9843072521	1.0	
1845.19092976	57.0920646519	1.0	
1845.90249764	57.2689344043	1.0	
1846.50232873	57.3319970863	1.0	
1846.84100141	57.4044034762	1.0	
1847.02783762	57.4067315738	1.0	
1847.23786303	57.4884136377	1.0	
1847.95444321	57.6933636445	1.0	
1848.62584707	57.7569751853	1.0	
1849.1280868	57.8942595365	1.0	
1849.76271795	58.0108276428	1.0	
1850.29270898	58.1062559474	1.0	
1851.28611745	58.4081910322	1.0	
1852.21469718	58.4776878399	1.0	
1852.88066891	58.6745797232	1.0	
1853.48148219	58.7180131528	1.0	
1853.68295663	58.7551694978	1.0	
1853.9328814	58.8179830617	1.0	
1854.39903629	58.9416314557	1.0	
1854.98308257	59.0516015714	1.0	
1855.35883191	59.0919311936	1.0	
1856.02009074	59.3161051029	1.0	
1856.87491774	59.4338619918	1.0	
1857.26277327	59.4712473174	1.0	
1857.86576848	59.6750600755	1.0	
1858.48396668	59.7185265975	1.0	
1858.67825771	59.7527764871	1.0	
1858.8813472	59.7997623934	1.0	
1859.01754971	59.8072574894	1.0	
1859.17240265	59.8617035718	1.0	
1859.37031928	59.8864241403	1.0	
1859.49228245	59.9104888389	1.0	
1859.55673352	59.9122045679	1.0	
1859.98714102	60.0826518385	1.0	
1860.75771908	60.2204357936	1.0	
1861.26509968	60.2856040767	1.0	
1861.45820879	60.2976794409	1.0	
1861.59548831	60.3405158836	1.0	
1862.06718118	60.4863565897	1.0	
